图书编号,图书名称,作者,出版社,图书类型,数量,价格
J00924,佛陀传:全世界影响力最大的佛陀传记,一行禅师, 河南文艺出版社 ,宗教,1,48
J00925,世界上最快乐的人,咏给·明就仁波切,海南出版社,宗教,1,38
J00926,藏密佛教史,第二世纪敦珠法王,西藏藏文古籍出版社,宗教,1,46
J00927,大通方广忏悔灭罪庄严成佛经,陈斌冠,海南出版社,宗教,1,95
J00928,一掷千金的上帝,[美]提姆·凯乐,新世界出版社,宗教,1,32
J00929,释迦牟尼佛广传：白莲花论,全知麦彭仁波切,西藏藏文古籍出版社,宗教,1,48
J00930,菩提道次第广论,宗喀巴,青海人民出版社,宗教,1,34
J00931,大佛顶首楞严经讲义 ,圆瑛,宗教文化出版社,宗教,1,68
J00932,大圆满前行释修宝典,根让仁波切 ,中国社会科学出版社,宗教,1,64.5
J00933,我们合理的信仰,[荷兰]赫尔曼·巴文克,南方出版社,宗教,1,158
J00934,终止你内心的暴力,一行禅师,紫禁城出版社,宗教,1,75
J00935,宗教生活的基本形式,法]爱弥尔·涂尔干 著,商务印书馆,宗教,1,46
J00936,西藏生死书,索甲仁波切 ,浙江大学出版社,宗教,1,39.8
J00937,次第花开,希阿荣博堪布,海南出版社 ,宗教,1,39.8
J00938,禅—悟前与悟后（第二版）,张铃音居士,四川大学出版社,宗教,1,28
J00939,四重缘起深般若,谈锡永,华夏出版社,宗教,1,86
J00940,地藏菩萨本愿经讲记,净空法师,北方文艺出版社,宗教,1,68
J00941,与生命相约,一行禅师,紫禁城出版社 ,宗教,1,88
J00942,净空法师讲《了凡四训》,净空法师,长江文艺出版社,宗教,1,26
J00943,内观,[美]威廉·哈特（WilliamHart）, 海南出版社,宗教,1,25
J00944,化书,[五代]谭峭,中华书局,宗教,1,23
J00945,南怀瑾选集（第三卷）:易经杂说&易经系传别讲,南怀瑾,复旦大学出版社 ,宗教,1,43
J00946,返璞归真:纯粹的基督教,C.S.路易斯、汪咏梅, 华东师范大学出版社,宗教,1,30
J00947,南怀瑾选集（第8卷）,南怀瑾,旦大学出版社,宗教,1,40
J00948,法苑珠林校注（全六册）,[唐]释道世,中华书局 ,宗教,1,175
J00949,宗喀巴大师集（全五卷）,宗喀巴 ,民族出版社 ,宗教,1,128
J00950,安士全书白话解（上下册）,周安士, 内蒙古人民出版社,宗教,1,60
J00951,龙树六论,[印]龙树,民族出版社,宗教,1,35
J00952,禅定指要,逸尘, 巴蜀书社 ,宗教,1,88
J00953,菩提道次第广论,宗喀巴、法尊,青海民族出版社,宗教,1,32
J00954,习禅录影,南怀瑾,中国世界语出版社,宗教,1,26
J00955,禅观正脉研究,南怀瑾,中国世界语出版社,宗教,1,198
J00956,童蒙止观校释,[隋]智顗,中华书局,宗教,1,8.2
J00957,印度佛教史,平川彰 ,北京联合出版公司,宗教,1,128
J00958, 路德劝慰书信,马丁·路德,上海三联书店,宗教,1,68
J00959,汉魏两晋南北朝佛教史,汤用彤,商务印书馆,宗教,1,78
J00960,有求:二十一度母给你温暖,索达吉堪布,中国文史出版社,宗教,1,35
J00961,乐育堂语录,[清]黄元吉 ,九州出版社,宗教,1,30
J00962,管好你的心:心经•金刚经大智慧,多识仁波切,江苏文艺出版社,宗教,1,32
J00963,圣洁,[英]J.C.莱尔（J.C.Ryle）,新知三联书店,宗教,1,46
J00964,金刚经讲义,江味农 ,齐鲁书社,宗教,1,55
J00965,诸神的面具:金钱、性爱与权力的空洞承诺，以及脱离它们的盼望,[美]提姆·凯乐 , 新世界出版社,宗教,1,32
J00966,禅修次第：跟释迦牟尼禅修,[德]艾雅·凯玛（Ayya Khema）,海南出版社,宗教,1,150
J00967,《法华玄义》精读,沈海燕,上海古籍出版社,宗教,1,165
J00968,耶稣真貌,[美]杨腓力（Philip Yancey）,南方出版社 ,宗教,1,169
J00969,大愿法师著述系列（全十一册）,释大愿, 宗教文化出版社,宗教,1,248
J00970,十善业道经讲记,净空法师, 北方文艺出版社,宗教,1,38
J00971,幻化网秘密藏续释,谈锡永,华夏出版社 ,宗教,1,218
J00972,藏传佛教艺术发展史,谢继胜,上海书画出版社,宗教,1,1500
J00973,基督教大辞典,丁光训、金鲁贤、张庆熊 ,上海辞书出版社,宗教,1,360
J00974,中观今论,释印顺,中华书局,宗教,1,15
J00975,般若经讲记,释印顺,中华书局,宗教,1,12
J00976,圆觉经:佛教十三经,赖永海,中华书局,宗教,1,9
J00977,康德《纯粹理性批判》句读,邓晓芒,人民出版社,宗教,1,180
J00978,十善业道经,释净空 ,线装书局,宗教,1,39.8
J00979,认识佛教,释净空 , 线装书局,宗教,1,21
J00980,佛教美术丛考续编,金申,华龄出版社 ,宗教,1,49.8
J00981,心的经典:圣严法师讲心经,圣严法师,陕西师范大学出版社,宗教,1,24
J00982,学佛三书（共3册）,圣严法师,陕西师范大学出版社,宗教,1,18
J00983,永明延寿禅师全书（全三册）,延寿,宗教文化出版社,宗教,1,880
J00984,开示:虚云老和尚说法,虚云,陕西师范大学出版社 ,宗教,1,35
J00985,金刚密乘大圆满:突破轮回之道,丹贝旺旭仁波切,宗教文化出版社,宗教,1,168
J00986,佛法要论,冯达庵,宗教文化出版社,宗教,1,170
J00987,西藏生死之书,[美]索甲仁波切,中国社会科学出版社 ,宗教,1,28
J00988,中国佛学源流略讲,吕澂,中华书局,宗教,1,38
J00989,心灵的重塑,魏乐德（Dallas Willard）,上海三联书店,宗教,1,68
J00990,新教伦理与资本主义精神,[德]马克斯·韦伯,上海人民出版社,宗教,1,65
J00991,子平真诠,[清]沈孝瞻,藏文古籍出版社,宗教,1,36
J00992,道从这里讲起:《薄伽梵歌》解读与会通,[以色列]伊萨玛·泰奥多 ,九州出版社,宗教,1,68
J00993,大圆满前行引导文,华智仁波切,藏文古籍出版社,宗教,1,39.8
J00994,圣徒永恒的安息,[英]理查德·巴克斯特（Richard Baxter）,新知三联书店,宗教,1,39
J00995,宗教情感,[美]乔纳森·爱德华兹,·新知三联书店,宗教,1,36
J00996,维摩诘经译注,徐文明 ,中华书局,宗教,1,27
J00997,五灯会元,普济；朱俊红,海南出版社,宗教,1,98
J00998,碧岩录,[宋]圜悟克勤 ,中州古籍出版社,宗教,1,32
J00999,心经的力量,弘一大师,大象出版社,宗教,1,180
J01000,佛经,释迦牟尼,宗教文化出版社,宗教,1,20
J01001,《自私的基因》,[英]理查德·道金斯,中信出版社,科学,1,45
J01002,《神秘的宇宙》,萨根 ,天津社会科学院出版社,,1,56
J01003,《万物简史》,[美] 比尔·布莱森 ,接力出版社,,1,52
J01004,《天体运行论》,[波] 尼古拉哥白尼, 江苏人民出版社,,1,24
J01005,《通向宇宙的三个阶梯》,[美]戴维·加芬克尔, 科学出版社(北京),,1,79
J01006,《基础天文学》,刘学富,高等教育出版社,,1,87
J01007,《天文学新概论》,苏宜,科学出版社,,1,34
J01008,《天才在 左右疯子》, 高铭,北京联合出版公司,,1,28
J01009,《宇宙之海的涟漪 》,(澳)大卫.布莱尔, 江西教育出版社,,1,88
J01010,《时空的未来》,史蒂芬·霍金,湖南科学技术出版社,,1,61
J01011,《变化》,灵遁者,吉林大学出版社,,1,34
J01012,《见微知著》,灵遁者,吉林大学出版社,,1,56
J01013,《20世纪科学技术简史》,李佩珊,科学出版社,,1,123
J01014,《保护环境随手可做的100件小事》,刘兵,吉林人民出版社,,1,345
J01015,《贝尔实验室》,阎康年,河北大学出版社,,1,754
J01016,《玻尔和原子》,戈革,江苏教育出版社,,1,975
J01017,《超常之谜》,申振钰,科学普及出版社,,1,134
J01018,《超导史话》,刘兵,江苏教育出版社,,1,345
J01019,《从肥皂泡到液晶生物膜》,欧阳钟灿,湖南教育出版社,,1,653
J01020,《从宇宙大爆炸谈起：元素的起源与合成》,柴之芳,湖南教育出版社,,1,63
J01021,《电脑风云五十年》,林立勋,电子工业出版社,,1,54
J01022,《动物谋生术》,王义炯,江苏教育出版社,,1,14
J01023,《动物园的故事》,余振富,中国林业出版社,,1,13
J01024,《伐木者，醒来！》,徐刚,吉林人民出版社,,1,98
J01025,《飞翔的花园》,智宇,北京少年儿童出版社,,1,46
J01026,《飞向蓝天》,谢础,江苏教育出版社,,1,67
J01027,《分形艺术》,刘华杰,湖南科学技术出版社,,1,46
J01028,《哥德巴赫猜想》,陈景润,辽宁教育出版社,,1,25
J01029,《化学的明天》,宋心琦,广西教育出版社,,1,26
J01030,《基因的故事》,陈章良,北京大学出版社,,1,74
J01031,《脊椎动物话古今》,叶祥奎,湖南教育出版社,,1,244
J01032,《技术发明的故事》,王兰智,大象出版社,,1,77
J01033,《卡文迪什实验室》,阎康年,河北大学出版社,,1,467
J01034,《科海求真》,郭正谊,江苏教育出版社,,1,33
J01035,《科学对话》,王直华,江苏教育出版社,,1,55
J01036,《科学怪影》,郭正谊,科学普及出版社,,1,43
J01037,《科学随笔经典》,黎先耀,科学普及出版社,,1,21
J01038,《科学寻踪》,王渝生,江苏教育出版社,,1,22
J01039,《克丽奥眼中的科学》,刘兵,山东教育出版社,,1,75
J01040,《了解生命》,王谷岩,江苏教育出版社,,1,36
J01041,《漫长的路：1980_1997在大熊猫中间》,潘文石,江苏科学技术出版社,,1,75
J01042,天下,张三,中花数据,,1,156
J01043,《魔术与神功》,郭正谊、傅起风,科学普及出版社,,1,53
J01044,《平衡生命的砝码：微量元素与健康》,唐任寰,湖南教育出版社,,1,98
J01045,《奇妙的昆虫王国》,张广学,广西师范大学出版社,,1,366
J01046,《奇异的仿生学》,戴君惕,湖南教育出版社,,1,742
J01047,《青少年科技活动大全》,高峰若,上海科技教育出版社,,1,26
J01048,《热带雨林漫游与民族森林文化趣谈》,许再富,云南科技出版社,,1,66
J01049,《人机共生的智慧》,戴汝,广西师范大学出版社,,1,235
J01050,《神奇的光：同步辐射》,冼鼎昌,湖南教育出版社,,1,43
J01051,《声学漫谈》,马大猷、杨训仁,湖南教育出版社,,1,256
J01052,《时间的脚印》,陶世龙,江苏教育出版社,,1,467
J01053,《世界科技发展史画库》,王建邦，朱正伦,江苏科学技术出版社,,1,32
J01054,《数学的明天》,张奠宙,广西教育出版社,,1,346
J01055,《数学与经济》,史树中,湖南教育出版社,,1,266
J01056,《衰老与抗衰老》,郑集,科学出版社,,1,523
J01057,《探索天空的奥秘》,王绶绾,广西师范大学出版社,,1,25
J01058,《天文学的明天》,李竞,广西教育出版社,,1,674
J01059,《通向信息世界的异端之路：维纳》,胡作玄,福建教育出版社,,1,78
J01060,《伟大的创举、精细的操作：基因工程》,盛祖嘉,湖南教育出版社,,1,77
J01061,《伟大心智的漫游：马赫》,李醒民,福建教育出版社,,1,44
J01062,《问天絮语》,王绶绾,湖南少年儿童出版社,,1,99
J01063,《无尽的追问》,王淦昌,湖南少年儿童出版社,,1,88
J01064,《现代科普教育读本》,顾冠群,江苏科学技术出版社,,1,342
J01065,《小小物理实验室：从小学动手》,赵孟杰,华夏出版社,,1,111
J01066,《玄机揭秘》,祝永华,科学普及出版社,,1,332
J01067,《音和光的世界：从小学思考》,钟国华,华夏出版社,,1,145
J01068,《宇宙博物馆》,格格热,天津教育出版社,,1,141
J01069,《原子和分子的观察与操纵》,白春礼,湖南教育出版社,,1,734
J01070,《猿猴王国》,华惠伦,江苏教育出版社,,1,115
J01071,《运动和力的世界：从小学观察》,钟国华,华夏出版社,,1,875
J01072,《植物世界拾奇》,汪劲武,湖南教育出版社,,1,998
J01073,《智慧的星光：诺贝尔自然科学奖获奖者文萃》,永丰余,经济日报出版社,,1,567
J01074,《走出混沌：近代化学的历程》,何法信,湖南教育出版社,,1,876
J01075,《最伟大的猎手阿拉斯加北极的爱斯基摩人》,位梦华,中国旅游出版社,,1,865
J01076,《21世纪少年儿童科学百科》,日本小学馆,浙江教育出版社,,1,55
J01077,《PCR传奇：一个生物技术的故事》,保罗·拉比诺,上海科技教育出版社,,1,19
J01078,《阿基米德的报复》,霍夫曼,中国对外翻译出版公司,,1,11
J01079,《百大发明》,红糖睿,上海科技教育出版社,,1,12
J01080,《超弦：一种包罗万象的理论》,戴维斯,中国对外翻译出版公司,,1,24
J01081,《超越计算》,邓宁·迈特卡菲,河北大学出版社,,1,27
J01082,《超越时空：通过平行宇宙、时间卷曲和第十维度的科学之旅》,加来道雄,上海科技教育出版社,,1,43
J01083,《创世纪与地质学》,吉利思俾,江西教育出版社,,1,65
J01084,《攻击的秘密》,康拉德·劳伦兹,中国和平出版社,,1,954
J01085,《混乱的联线》,普拉特,河北大学出版社,,1,83
J01086,《技术的报复：墨菲法则和事与愿违》,爱德华·特纳,上海科技教育出版社,,1,39
J01087,《经度》,戴瓦·索贝尔,海南出版社,,1,80
J01088,《惊人的假说：灵魂的科学探索》,弗朗西斯·克里克,江西教育出版社,,1,90
J01089,《科学与反科学》,霍尔顿,江西教育出版社,,1,30
J01090,《夸克与美洲豹》,M·盖尔曼,湖南科学技术出版社,,1,10
J01091,《你干吗在乎别人怎么想充满好奇心的费曼》,理查德·费曼,中国社会科学出版社,,1,40
J01092,《牛顿传》,理查德·韦斯特福尔,中国对外翻译出版公司,,1,20
J01093,《确定性的终结：时间、混沌与新自然法则》,伊利亚·普利高津,上海科技教育出版社,,1,69
J01094,《莎士比亚、牛顿和贝多芬：不同的创造模式》,S·钱德拉塞卡,湖南科学技术出版社,,1,50
J01095,《上帝与新物理学》,戴维斯,湖南科学技术出版社,,1,70
J01096,《生机勃勃的尘埃：地球生命的起源和进化》,克里斯蒂安·德迪夫,上海科技教育出版社,,1,80
J01097,《我们的国家公园》,约翰·缪尔,吉林人民出版社,,1,990
J01098,《生命共生的行星》,马古利斯,上海科学技术出版社,,1,577
J01099,《天才引导的历程》,威廉·邓纳姆,中国对外翻译出版公司,,1,33
J01100,《时间简史续编》,史蒂芬·霍金,湖南科学技术出版社,,1,33
K01101,蟹状星云和她的明珠,何香涛,湖南科学技术出版社,,1,137
K01102,环宇孤心,丹尼斯・奥弗比,中信出版社,,1,136
K01103,推销银河系的人-博克传,戴维.H.利维,上海科技教育出版社,,1,140
K01104,图说宇宙,莱曼·普林嘉,湖南科学技术出版社,,1,80
K01105,六个数,马丁·里斯,上海科学技术出版社,,1,105
K01106,宇宙学,爱德华·哈里森,世界图书出版公司,,1,108
K01107,宇宙最初三分钟,史蒂文.温伯格,中国对外翻译出版公司,,1,163
K01108,中国天文学会往事,江晓原 / 陈志辉,上海交通大学出版社,,1,69
K01109,登陆火星,史蒂夫·斯奎尔斯,中国宇航出版社,,1,196
K01110,紫金山天文台史,江晓原 / 吴燕,河北大学出版社,,1,194
K01111,天文学简史,G・伏古勒尔, 广西师范大学出版社,,1,51
K01112,第五元素,克劳斯,上海科学技术出版社,,1,158
K01113,宇宙飞弹:天体物理学中的高能粒子,罗杰·柯莱，布鲁斯·道森,江西教育出版社,,1,182
K01114,宇宙之海的涟漪：引力波探测,大卫.布莱尔,江西教育出版社,,1,70
K01115,量天,吉蒂·弗格森,北京大学出版社,,1,172
K01116,天遇, [罗] 弗洛林·迪亚库 / [美] 菲利普·霍尔姆斯,上海科技教育出版社,,1,104
K01117,星系与星际边缘,[美]威廉·H.沃勒 / [美]保罗·W.霍奇,外语教学与研究出版社,,1,153
K01118,恒星与行星的诞生,约翰·巴利 / 波·瑞普斯,湖南科学技术出版社,,1,182
K01119,无限远的边缘,Fulvio Melia,湖南科学技术出版社,,1,63
K01120,宇宙新视野,(美)C·C·皮特森、J·C·布兰特,湖南科学技术出版社,,1,166
K01121,物理天文学前沿,[英]F·霍伊尔 / [印]J·纳里卡, 湖南科学技术出版社,,1,200
K01122,千亿个太阳, [德] 鲁道夫·基彭哈恩,湖南科学技术出版社,,1,119
K01123,重返天文咖啡馆,施滕·奥登瓦尔德,上海科技教育出版社,,1,189
K01124,大宇宙百科全书,（英）约翰・格里宾,海南出版社,,1,189
K01125,天文学,M·L·库特纳,湖南科学技术出版社,,1,174
K01126,黑洞与时间弯曲, 基普.S.索恩,湖南科学技术出版社,,1,179
K01127,果壳中的宇宙,史蒂芬·霍金,湖南科学技术出版社,,1,126
K01128,时间简史,史蒂芬·霍金,湖南科学技术出版社,,1,74
K01129,天文学基础知识入门,苏山,北京工业大学出版社,,1,195
K01130,暗淡蓝点,卡尔·萨根,上海科技教育出版社,,1,90
K01131,宇宙,卡尔·萨根,吉林人民出版社,,1,72
K01132,通俗天文学,西蒙·纽康,陕西师范大学出版总社有限公司,,1,21
K01133,天文学基础知识丛书：天文学简史,陈久金,科学出版社,,1,26
K01134,中国恒星观测史, 潘鼐,学林出版社,,1,125
K01135,现代美国中小学实验系列:小学部分--天文学实验,伍德 著,现代出版社,,1,67
K01136,国际汉学经典译丛：南怀仁的 欧洲天文学,[比]南怀仁 ,大象出版社,,1,84
K01137,紫金山天文台史稿：中国天文学现代化个案,江晓原、吴燕, 山东教育出版社,,1,153
K01138,天文学与地球科学,迈克尔·汤普森 ,中国青年出版社,,1,182
K01139,实用天文学,夏坚白、陈永龄、王之卓,武汉大学出版社,,1,64
K01140,10000个科学难题·天文学卷,《“十一五”国家重点图书出版规划项目·10000个科学难题：天文学卷》编委会 编,科学出版社 ,,1,29
K01141,天文知识基础：你想知道的天文学（第2版）,姚建明,清华大学出版社,,1,167
K01142,蟹状星云和她的明珠（2）,何香涛,湖南科学技术出版社,,1,79
K01143,环宇孤心（2）,丹尼斯・奥弗比,中信出版社,,1,33
K01144,推销银河系的人-博克传（2）,戴维.H.利维,上海科技教育出版社,,1,135
K01145,图说宇宙（2）,莱曼·普林嘉,湖南科学技术出版社,,1,109
K01146,六个数（2）,马丁·里斯,上海科学技术出版社,,1,55
K01147,宇宙学（2）,爱德华·哈里森,世界图书出版公司,,1,122
K01148,宇宙最初三分钟（2）,史蒂文.温伯格,中国对外翻译出版公司,,1,66
K01149,中国天文学会往事（2）,江晓原 / 陈志辉,上海交通大学出版社,,1,124
K01150,登陆火星（2）,史蒂夫·斯奎尔斯,中国宇航出版社,,1,183
K01151,紫金山天文台史（2）,江晓原 / 吴燕,河北大学出版社,,1,181
K01152,天文学简史（2）,G・伏古勒尔, 广西师范大学出版社,,1,107
K01153,第五元素（2）,克劳斯,上海科学技术出版社,,1,74
K01154,宇宙飞弹:天体物理学中的高能粒子（2）,罗杰·柯莱，布鲁斯·道森,江西教育出版社,,1,174
K01155,宇宙之海的涟漪：引力波探测（2）,大卫.布莱尔,江西教育出版社,,1,24
K01156,量天（2）,吉蒂·弗格森,北京大学出版社,,1,53
K01157,天遇（2）, [罗] 弗洛林·迪亚库 / [美] 菲利普·霍尔姆斯,上海科技教育出版社,,1,120
K01158,星系与星际边缘（2）,[美]威廉·H.沃勒 / [美]保罗·W.霍奇,外语教学与研究出版社,,1,189
K01159,恒星与行星的诞生（2）,约翰·巴利 / 波·瑞普斯,湖南科学技术出版社,,1,167
K01160,无限远的边缘（2）,Fulvio Melia,湖南科学技术出版社,,1,192
K01161,宇宙新视野（2）,(美)C·C·皮特森、J·C·布兰特,湖南科学技术出版社,,1,110
K01162,物理天文学前沿（2）,[英]F·霍伊尔 / [印]J·纳里卡, 湖南科学技术出版社,,1,163
K01163,千亿个太阳（2）, [德] 鲁道夫·基彭哈恩,湖南科学技术出版社,,1,158
K01164,重返天文咖啡馆（2）,施滕·奥登瓦尔德,上海科技教育出版社,,1,48
K01165,大宇宙百科全书（2）,（英）约翰・格里宾,海南出版社,,1,189
K01166,天文学（2）,M·L·库特纳,湖南科学技术出版社,,1,195
K01167,黑洞与时间弯曲（2）, 基普.S.索恩,湖南科学技术出版社,,1,168
K01168,果壳中的宇宙（2）,史蒂芬·霍金,湖南科学技术出版社,,1,144
K01169,时间简史（2）,史蒂芬·霍金,湖南科学技术出版社,,1,72
K01170,天文学基础知识入门（2）,苏山,北京工业大学出版社,,1,164
K01171,暗淡蓝点（2）,卡尔·萨根,上海科技教育出版社,,1,132
K01172,宇宙（2）,卡尔·萨根,吉林人民出版社,,1,98
K01173,通俗天文学（2）,西蒙·纽康,陕西师范大学出版总社有限公司,,1,38
K01174,天文学基础知识丛书：天文学简史（2）,陈久金,科学出版社,,1,158
K01175,中国恒星观测史（2）, 潘鼐,学林出版社,,1,37
K01176,现代美国中小学实验系列:小学部分--天文学实验（2）,伍德 著,现代出版社,,1,110
K01177,国际汉学经典译丛：南怀仁的 欧洲天文学（2）,[比]南怀仁 ,大象出版社,,1,43
K01178,紫金山天文台史稿：中国天文学现代化个案（2）,江晓原、吴燕, 山东教育出版社,,1,94
K01179,天文学与地球科学（2）,迈克尔·汤普森 ,中国青年出版社,,1,175
K01180,实用天文学（2）,夏坚白、陈永龄、王之卓,武汉大学出版社,,1,113
K01181,10000个科学难题·天文学卷（2）,《“十一五”国家重点图书出版规划项目·10000个科学难题：天文学卷》编委会 编,科学出版社 ,,1,51
K01182,天文知识基础：你想知道的天文学（第2版）（2）,姚建明,清华大学出版社,,1,108
K01183,美国初中主流理科教材·科学探索者：天文学（第3版）,[美]帕迪利亚 著,浙江教育出版社,,1,77
K01184,拥抱群星 与青少年一同走进天文学,卞毓麟,上海科学普及出版社,,1,70
K01185,易学与天文学,卢央,中国书店 ,,1,24
K01186,中国古代天文学词典,徐振韬,中国科学技术出版社,,1,65
K01187,简明天文学教程,余明,科学出版社 ,,1,134
K01188,天文学的100个基本问题,刘孝贤,山西科学技术出版社,,1,51
K01189,中国大百科全书.天文学,姜椿芳,中国大百科全书出版社,,1,191
K01190,哥白尼革命：西方思想发展中的行星天文学,托马斯·库恩,北京大学出版社,,1,134
K01191,万用天文学,唐纳德·奥尔森,浙江大学出版社,,1,132
K01192,美国初中主流理科教材·科学探索者：天文学（第3版）（2）,[美]帕迪利亚 著,浙江教育出版社,,1,149
K01193,拥抱群星 与青少年一同走进天文学（2）,卞毓麟,上海科学普及出版社,,1,113
K01194,易学与天文学（2）,卢央,中国书店 ,,1,64
K01195,中国古代天文学词典（2）,徐振韬,中国科学技术出版社,,1,166
K01196,简明天文学教程（2）,余明,科学出版社 ,,1,127
K01197,天文学的100个基本问题（2）,刘孝贤,山西科学技术出版社,,1,59
K01198,中国大百科全书.天文学（2）,姜椿芳,中国大百科全书出版社,,1,142
K01199,哥白尼革命：西方思想发展中的行星天文学（2）,托马斯·库恩,北京大学出版社,,1,38
K01200,万用天文学（2）,唐纳德·奥尔森,浙江大学出版社,,1,111
